plant,customer,distance,locations
plant_1,customer_246,382.19,"[-88.609779, 33.324347]"
plant_1,customer_247,510.57,"[-79.714641, 40.14654]"
plant_1,customer_248,685.96,"[-94.719732, 32.824375]"
plant_2,customer_1,1219.43,"[-97.400281, 33.119504]"
plant_2,customer_2,1479.09,"[-104.146281, 34.045009]"
plant_2,customer_4,754.68,"[-86.024723, 33.64755]"
plant_2,customer_5,1576.51,"[-104.642711, 32.647087]"
plant_2,customer_10,557.04,"[-81.36037, 36.622746]"
plant_2,customer_14,1207.63,"[-98.399894, 33.51573]"
plant_2,customer_15,509.07,"[-77.695401, 38.979039]"
plant_2,customer_21,1055.48,"[-94.272464, 33.879494]"
plant_2,customer_24,213.14,"[-85.393407, 43.555699]"
plant_2,customer_26,665.74,"[-88.470236, 35.887553]"
plant_2,customer_27,716.73,"[-85.306892, 34.05084]"
plant_2,customer_28,480.3,"[-84.385289, 36.603522]"
plant_2,customer_31,916.28,"[-91.070835, 33.294127]"
plant_2,customer_33,698.94,"[-89.146373, 35.576094]"
plant_2,customer_42,1199.44,"[-98.985873, 34.036948]"
plant_2,customer_44,738.56,"[-88.339312, 34.56966]"
plant_2,customer_45,660.13,"[-85.3432, 34.674826]"
plant_2,customer_49,712.94,"[-86.15226, 34.385553]"
plant_2,customer_51,354.5,"[-79.380349, 40.028771]"
plant_2,customer_52,349.18,"[-79.875215, 40.158978]"
plant_2,customer_55,553.5,"[-83.641023, 35.814402]"
plant_2,customer_61,995.73,"[-93.824881, 34.072716]"
plant_2,customer_65,1420.03,"[-102.589507, 33.911307]"
plant_2,customer_67,1363.79,"[-100.85088, 32.629017]"
plant_2,customer_68,833.0,"[-88.004147, 33.014059]"
plant_2,customer_71,970.65,"[-93.38638, 34.016592]"
plant_2,customer_74,645.31,"[-89.813252, 36.701256]"
plant_2,customer_78,1308.47,"[-101.13903, 34.352121]"
plant_2,customer_80,1015.56,"[-94.282043, 34.307716]"
plant_2,customer_82,962.17,"[-91.48747, 32.820359]"
plant_2,customer_86,643.07,"[-84.966037, 34.754311]"
plant_2,customer_87,714.31,"[-87.481247, 34.346046]"
plant_2,customer_88,1167.04,"[-96.375459, 33.061658]"
plant_2,customer_90,555.45,"[-87.599853, 36.929183]"
plant_2,customer_92,590.24,"[-88.057566, 36.699237]"
plant_2,customer_97,1012.88,"[-94.150853, 34.162888]"
plant_2,customer_100,845.21,"[-88.143854, 32.701764]"
plant_2,customer_101,681.74,"[-85.26517, 34.427289]"
plant_2,customer_103,544.04,"[-83.637411, 36.183039]"
plant_2,customer_106,564.28,"[-88.965577, 45.709573]"
plant_2,customer_107,563.99,"[-81.644252, 36.618928]"
plant_2,customer_108,387.96,"[-82.728105, 37.998574]"
plant_2,customer_111,928.93,"[-92.679021, 34.281537]"
plant_2,customer_117,654.43,"[-89.209225, 36.494944]"
plant_2,customer_124,1040.27,"[-93.073687, 32.774364]"
plant_2,customer_127,503.33,"[-80.419321, 37.7234]"
